,ID,Tweet
0,0,"Recuperan pulmones humanos al conectarlos al sistema circulatorio de un cerdo
https://t.co/yOj4oCmKqU"
1,1,"1,177 personas privadas de libertad han dado positivo por  #COVIDー19 hasta la fecha, y 1,008 se han recuperado. #TReporta @PenitenciarioPA https://t.co/PKrlTitv02"
2,2,.@Alaves empata 0-0 ante el @GetafeCF. El panameño José Luis Rodríguez se mantuvo en la banca. #DeportesTR https://t.co/LPmUggTGlw
3,3,"Con presidenta con COVID-19, Bolivia aplica gobierno virtual
https://t.co/xEVEGOFTCb"
4,4,Promulgan decreto que convierte acuerdos de la mesa tripartita en normas obligatorias https://t.co/q4etOfwBzE #Panamá https://t.co/i6mW4srvgG
5,5,Richardson busca liberación de estadounidenses en Venezuela https://t.co/lQ6CEhswXC https://t.co/1MW3gxh6tV
6,6,"OMS: El mundo no recuperará la normalidad previa a la pandemia en un ""futuro previsible""
https://t.co/mIiqdulsBo"
7,7,"Vicepresidente del @PARLACEN por Panamá, @GSuccari,  informa que los resultados a las pruebas de #COVIDー19  fueron negativos, y completará su recuperación en casa. #TReporta https://t.co/Xk2VT6VpVN"
8,8,Decomisan camión con paquetes de droga en San Miguelito https://t.co/D8cRLhv274 https://t.co/X6B8aILPGj
9,9,"Detienen a una persona en Veraguas, durante la visita a un familiar en la cárcel pública de Santiago, luego de que la Unidad Canina detectara presuntas sustancias ilícitas dentro de huevos. @ProtegeryServir #TReporta https://t.co/M1Y1wIIBZE"
10,10,"Defensa de Ricardo Alberto Martinelli Linares presentó amparo en Guatemala. ""Está solicitando que se le otorgue un plazo para que se pida al Parlacen la documentación para hacer constar que Linares es diputado suplente"", periodista @Sosegueda2287 de @CanalAntigua. #TReporta https://t.co/dCxihXOjwB"
11,11,Estudiantes de la UTP ganan primer y segundo lugar en competencia mundial de seguridad informática https://t.co/d4HhWw5R3g #Panamá https://t.co/zVMrm5L4tM
12,12,VÍDEO| Ricardo Martinelli presenta otra incapacidad médica por dos meses https://t.co/01nTVjkIm3 #Panamá https://t.co/W2tBW6bxkW
13,13,El Brexit regresa a la primera fila de la política británica https://t.co/uIuW6cKgnQ https://t.co/bwij3rRfMH
14,14,"Policías linces verificaron un camión, en el cual se encontró un saco con 25 paquetes rectangulares con supuesta droga, en el sector de Paraíso, corregimiento de Mateo Iturralde, distrito de San Miguelito. @ProtegeryServir #TReporta https://t.co/oyKk67mR2F"
15,15,"Habilitarán 50 camas en el Hospital Regional en David, ubicado en la provincia de Chiriquí. Las autoridades indicaron que de esa cantidad 10 serán para la Unidad de Cuidados Intensivos que atiende a pacientes con COVID-19. #TReporta https://t.co/zsHqtpSwP1"
16,16,"Trabajos de limpieza del cajón pluvial ubicado en calle Manuel Guerrero, San Antonio, que se mantenía obstruido por un tronco de árbol. @MOPPma #TReporta https://t.co/HJP5WTaTgh"
17,17,"Google invertirá en ""transformación digital"" de India https://t.co/IHN0UmNyG3 https://t.co/uuuoE32TE5"
18,18,"Tras una explosión que se registró en un edificio en Río Abajo, un niño de 8 años de edad presenta quemaduras en el 60% de su cuerpo. Ante esta situación la madre del menor solicita apoyo económico e indicó que las personas pueden colaborarles donando sangre también. #TReporta https://t.co/Jm1Lb2GfuB"
19,19,"""En fase de recuperación"" de un cuerpo en el lago donde desapareció la actriz Naya Rivera. @EFEnoticias #InternacionalesTR https://t.co/p2FXIe3loQ"
20,20,Autoridades en Colombia están tras la pista de un hombre que bebió de varias botellas de jugo y la volvió a colocar en el estante de un supermercado de Medellín. #InternacionalesTR https://t.co/mBlMfcVIDF
21,21,"Un nuevo grupo de nicaragüenses sale hacia su país, aún quedan 481 en #Panamá https://t.co/uLcRWKXjaQ https://t.co/bBaRdUYKnJ"
22,22,"Vista del tráfico a esta hora en la avenida Ricardo J. Alfaro, a la altura de la Casa Redonda. @gtraficoattt #TReporta https://t.co/a5UtcRnC4T"
23,23,"Europa critica a Turquía por mezquita, exploración en aguas https://t.co/HZLBOx11mE https://t.co/eir1gHapC9"
24,24,"Defensa del expresidente Ricardo Martinelli presenta nueva incapacidad médica ante el Ministerio Público. ""La Fiscalía tiene que aprender a respetar los dictámenes médicos. En este caso son 2 especialistas"", señaló el abogado Roniel Ortiz. #TReporta https://t.co/VbGu1p94r8"
25,25,"Abogados de los hermanos Luis Enrique y Ricardo Alberto Martinelli Linares, insisten en que la detención de estos ciudadanos en Guatemala fue ilegal. #TReporta https://t.co/AbfYviA8pL"
26,26,Gracias por acompañarnos en la #EdiciónMediodía de #TReporta https://t.co/GOUaxcGTGk
27,27,"La madre de menor afectado por la explosión que se registró en un edificio en Río Abajo, solicita ayuda. El pequeño presenta quemaduras en el 60% de su cuerpo. #TReporta https://t.co/vwmWtSwpYL"
28,28,"Eligen a Parita como mascota de los Juegos Panamá 2022

https://t.co/yphc8AhOko https://t.co/wVgT0acltf"
29,29,VÍDEO| Defensa de hermanos Martinelli Linares en #Panamá insiste en que detención fue ilegal https://t.co/EpNqs18Dy0 https://t.co/JqNXTJLwl0
30,30,Parita es la mascota oficial de los Juegos Centroamericanos y del Caribe Panamá 2022. #DeportesTR https://t.co/oQM5VmCnzS
31,31,Zona Libre autoriza descuento en cánones de arrendamiento de locales y lotes https://t.co/uHgj6dRjWv https://t.co/4saMZY9RgP
32,32,"VÍDEO| Entregan 50 camas al Hospital Rafael Hernández, 10 para cuidados intensivos https://t.co/IyfdNKcgEK #Panamá https://t.co/o3akpfkgjt"
33,33,"Hoy se cumplen 7 años del fallecimiento del actor Cory Monteith, quien compartió pantalla en la serie #Glee con la actriz Naya Rivera, desaparecida en un lago de California. #InternacionalesTR https://t.co/3sOmgW3i4g"
34,34,VÍDEO| Trabajadores de aseo de la CSS exigen insumos para enfrentar el COVID-19 https://t.co/pfseanX9NY #Panamá https://t.co/BiHPUfJfwt
35,35,Ministro del MICI presenta proyecto que crea el Régimen EMMA https://t.co/78A7DJfhxg https://t.co/nrNiST3YKl
36,36,"""Hay una incapacidad, la Fiscalía tiene que aprender a respetar los dictámenes médicos. En este caso son 2 especialistas"", abogado Roniel Ortiz. #TReporta https://t.co/uQhyHfTvGD"
37,37,Defensa del expresidente Ricardo Martinelli presenta nueva incapacidad médica ante el Ministerio Público. El exmandatario no podrá comparecer por caso Odebrecht y New Business. #TReporta https://t.co/y8ocxsxi2o
38,38,"Emiten aviso por probabilidad de lluvias con actividad eléctrica y ráfagas de vientos para Colón, Comarca Guna Yala, Panamá Este, Oeste, Centro y Norte, Coclé, Veraguas, Los Santos, Chiriquí, Bocas del Toroy la Comarca Ngäbe Buglé. @Etesatransmite @Sinaproc_Panama #TReporta https://t.co/OPsI09fPxW"
39,39,VÍDEO| Protestan en Nuevo Emperador por falta de agua https://t.co/0rMwj4AsyB #Panamá https://t.co/fMZZ9J2i4W
40,40,Bomberos de Bocas del Toro realizan la remoción de un árbol que cayó sobre la vía en el área de Boca del Drago. @BCBRP #TReporta https://t.co/SxmUdQa5Dj
41,41,"Defensa de Ricardo Alberto Martinelli Linares pidió a la Dirección de Gestión Penal en Guatemala, un plazo para solicitar al @PARLACEN documento que haga constar que Linares es diputado de ese ente. @Sosegueda2287 @CanalAntigua #TReporta https://t.co/tdp8Fjvvxh"
42,42,"El caso de extradición de los hermanos Martinelli Linares sigue en suspenso en Guatemala, mientras que sus abogados en Panamá insisten en que la detención fue ilegal. #TReporta https://t.co/Zt5N0Ok0Pm"
43,43,"A su máxima capacidad están los hospitales privados del país, por lo que han tenido que reinventarse, señaló el exministro de Salud, José Manuel Terán. Esta situación preocupa al personal de salud por el aumento de los casos de coronavirus en Panamá. #TReporta https://t.co/5WHfjugWk9"
44,44,Encuentran un cuerpo en el lago donde desapareció la actriz Naya Rivera https://t.co/PFkWmYiotw
45,45,"Unas 50 camas serán habilitadas en el Hospital Rafael Hernández en David, provincia de Chiriquí. La medida busca reforzar la capacidad hospitalaria, ante el aumento de los casos de COVID-19. #TReporta https://t.co/ly7iaWLgvz"
46,46,Defensa de Ricardo Martinelli Linares solicita plazo para pedir documentación al Parlacen https://t.co/2AGGVV7Fdv https://t.co/8yCwlrE1P1
47,47,La Policía del Condado de Ventura (EE.UU.) encuentra un cuerpo en el lago donde desapareció la actriz Naya Rivera. @EFEnoticias #InternacionalesTR https://t.co/KPIEIU69Rn
48,48,"Realizan una jornada de limpieza profunda en el centro de acopio del Plan Panamá Solidario, en la provincia de Coclé. #TReporta https://t.co/4f4n3vOTpa"
49,49,"Trabajadores de la sección de aseo del Complejo Hospitalario de la Caja de Seguro Social, protestaron. Solicitan la dotación de insumos que les permita realizar sus labores con la mayor seguridad en medio de la pandemia. #TReporta https://t.co/9gUMvfZtti"
50,50,"Sale hacia Nicaragua el cuarto grupo de extranjeros que se encontraban en albergues de Chiriquí, aún quedan a la espera de su autorización otras 481 personas. @migracionpanama #TReporta https://t.co/5BofwSiGCt"
51,51,"Moradores de varias comunidades en Arraiján, protestan por la falta de agua potable. Solicitan una respuesta por parte de las autoridades. #TReporta https://t.co/XKV3otM0oX"
52,52,Presentan proyecto para protección de empleo en empresas afectadas por el COVID-19 en #Panamá https://t.co/01SQ6wqTgf https://t.co/kH02rgiikf
53,53,"Inicia la #EdiciónMediodía de #TReporta con @massiel2503. Sintoniza la transmisión por @Telemetro, https://t.co/0DJQEaUz3H o @MedcomGo https://t.co/RlUDDx16yx"
54,54,"Sanofi, cerca de acuerdo con UE por 300 millones de dosis de vacuna anti-COVID
https://t.co/GSYA5p6Dmy"
55,55,Defensa de Ricardo Alberto Martinelli Linares presenta amparo en la Dirección de Gestión Penal en Guatemala. Pide que se le autorice un plazo para solicitar al @PARLACEN documento que haga constar que Linares es diputado de ese ente. @Sosegueda2287 @CanalAntigua #TReporta https://t.co/RzPnsRV8oy
56,56,"La ministra del @MitradelPma presentó al Pleno de la @asambleapa, un proyecto de ley que establece medidas para proteger el empleo en las empresas afectadas por el COVID-19 en Panamá y a los trabajadores con contratos suspendidos hasta el 31 de diciembre de 2020. #TReporta https://t.co/79AZbsX7Ib"
57,57,Más de 90 contagios en bases militares de EEUU en Okinawa https://t.co/qxCD0OFGra https://t.co/saZH11GeO9
